restaurant_id,name,city,area,cuisines,restaurant_type,price_range,avg_cost_for_two,rating,votes,online_order,table_booking,delivery,listed_in,payment_mode,established_year,seating_capacity,famous_dish
1,The Grill,Nagpur,Dharampeth,"Pizza, Biryani",Cafe,Affordable (₹200-500),416,4.6,722,Yes,No,No,Dine-out,Card,2021,164,Biryani
2,Little Bar,Jaipur,C Scheme,"Cafe, Mediterranean",Cafe,Premium (₹1000-2000),1980,4.2,2797,Yes,Yes,Yes,Delivery,Cash,2017,34,Burger
3,Modern Restaurant,Chandigarh,Sector 43,"South Indian, Seafood",Bar & Restaurant,Budget (₹0-200),173,3.2,2972,No,Yes,No,Buffet,Card,2014,30,Sushi
4,New Restaurant,Hyderabad,Jubilee Hills,"Street Food, Thai",Quick Bites,Moderate (₹500-1000),773,3.1,594,Yes,Yes,No,Dine-out,All Modes,2017,79,Tacos
5,Grand Corner,Nagpur,Ramdaspeth,"South Indian, Pizza",Casual Dining,Moderate (₹500-1000),608,3.0,4656,No,No,Yes,Cafes,All Modes,2009,77,Paneer Tikka
6,Little Lounge,Hyderabad,Madhapur,"Mediterranean, Bengali",Dhaba,Moderate (₹500-1000),821,3.7,395,Yes,Yes,No,Cafes,Cash,2017,107,Dal Makhani
7,Classic Point,Ahmedabad,Bopal,"North Indian, Continental",Bar & Restaurant,Moderate (₹500-1000),997,3.5,3726,Yes,Yes,Yes,Pubs and bars,Cash,2014,173,Chole Bhature
8,Royal Corner,Lucknow,Indira Nagar,"Mughlai, Bakery",Bar & Restaurant,Budget (₹0-200),139,2.8,2983,Yes,No,Yes,Delivery,Cash,2020,27,Noodles
9,Royal Bar,Jaipur,Malviya Nagar,"Seafood, Bakery",Quick Bites,Moderate (₹500-1000),704,4.3,1657,No,Yes,No,Nightlife,All Modes,2021,125,Butter Chicken
10,Spice Corner,Hyderabad,Gachibowli,"North Indian, Bengali",Bar & Restaurant,Affordable (₹200-500),234,4.2,492,Yes,Yes,Yes,Delivery,Card,2013,181,Momos
11,Little Bites,Hyderabad,Hitech City,"Bakery, Bengali",Buffet,Affordable (₹200-500),416,2.7,3541,No,No,Yes,Delivery,Cash,2006,113,Tandoori
12,Golden Dhaba,Pune,Hinjewadi,"Fast Food, Bakery",Buffet,Affordable (₹200-500),481,3.6,627,No,Yes,Yes,Pubs and bars,Cash,2007,70,Paneer Tikka
13,Old Dhaba,Kolkata,Howrah,"Mexican, South Indian",Quick Bites,Premium (₹1000-2000),1980,4.7,3737,Yes,No,Yes,Desserts,All Modes,2009,58,Pizza
14,Modern Grill,Hyderabad,Banjara Hills,"Cafe, South Indian",Food Court,Budget (₹0-200),120,3.7,4360,Yes,No,Yes,Desserts,Card,2007,162,Butter Chicken
15,New Bistro,Nagpur,Ramdaspeth,"Bakery, Biryani",Bakery,Luxury (₹2000+),3068,3.5,4791,Yes,No,Yes,Dine-out,UPI,2012,77,Pasta
16,Old Corner,Bangalore,Jayanagar,"Chinese, North Indian",Buffet,Luxury (₹2000+),3000,3.0,2182,Yes,Yes,No,Nightlife,UPI,2010,122,Sushi
17,Modern Garden,Jaipur,Mansarovar,"Desserts, North Indian",Bar & Restaurant,Moderate (₹500-1000),579,2.8,886,Yes,Yes,Yes,Pubs and bars,Card,2015,62,Kebabs
18,Classic House,Nagpur,Manewada,"Pizza, South Indian",Fine Dining,Premium (₹1000-2000),1759,3.3,1081,Yes,Yes,Yes,Pubs and bars,All Modes,2022,12,Butter Chicken
19,Classic Kitchen,Delhi,Lajpat Nagar,"Thai, Bengali",Bar & Restaurant,Affordable (₹200-500),307,3.2,336,No,Yes,Yes,Delivery,UPI,2022,114,Dal Makhani
20,Urban Bites,Surat,Athwa,"Biryani, Mughlai",Quick Bites,Premium (₹1000-2000),1163,4.7,3382,Yes,Yes,No,Delivery,All Modes,2006,130,Dosa
21,Mumbai Restaurant,Hyderabad,Secunderabad,"Biryani, Pizza",Casual Dining,Affordable (₹200-500),460,4.6,2296,No,No,Yes,Nightlife,Cash,2008,76,Paneer Tikka
22,The Bistro,Lucknow,Rajajipuram,"Bengali, Mediterranean",Food Court,Moderate (₹500-1000),522,2.8,4733,No,No,No,Delivery,Card,2016,120,Butter Chicken
23,Modern Corner,Nagpur,Hingna,"Italian, Sushi",Bar & Restaurant,Moderate (₹500-1000),715,4.2,4551,No,No,Yes,Buffet,Card,2023,87,Pasta
24,Delhi Restaurant,Jaipur,MI Road,"Fast Food, Street Food",Bakery,Luxury (₹2000+),2695,3.6,1760,Yes,No,Yes,Buffet,Cash,2014,141,Kebabs
25,Spice Point,Nagpur,Hingna,"Biryani, Sushi",Cafe,Affordable (₹200-500),237,3.1,3902,Yes,Yes,Yes,Pubs and bars,Card,2017,136,Pasta
